iter	Passed	Remaining
0	168	83845
1	184	45861
2	195	32469
3	205	25478
4	217	21506
5	225	18592
6	236	16645
7	244	15022
8	255	13921
9	266	13046
10	274	12198
11	284	11584
12	296	11106
13	304	10580
14	313	10140
15	320	9703
16	330	9386
17	343	9194
18	357	9057
19	369	8877
20	383	8743
21	394	8578
22	411	8531
23	421	8364
24	429	8156
25	434	7930
26	442	7746
27	455	728	428	467	729	485	7607
30	508	7694
31	528	7722
32	542	7678
33	553	7585
34	564	7503
35	573	7390
36	581	7274
37	592	7209
38	605	7156
39	619	7119
40	631	7072
41	641	6999
42	662	7043
43	696	7214
44	714	7226
45	786	7763
46	841	8108
47	861	8109
48	883	8129
49	899	8093
50	915	80551	97951	97952	1062	8962
53	1079	8917
54	1096	8869
55	1116	8851
56	11456	112957	11557	114758	11658	11659	116659	11760	1178	8479
61	1212	8564
62	1234	8561
63	1246	8494
64	1257	8417
65	1265	8323
66	1275	8245
67	1286	8170
68	1297	8106
69	1308	8040
70	1318	7966
71	1326	7887
72	1335	7812
73	1344	7739
74	1354	7677
75	1365	7616
76	1377	7567
77	1387	7506
78	1400	7461
79	1410	7407
80	1422	7357
81	1432	7302
82	1441	7243
83	1450	7183
84	1459	7124
85	1470	7076
86	1479	7022
87	1490	6978
88	1502	6939
89	1517	6911
90	1527	6865
91	1540	6830
92	1559	6826
93	1584	6845
94	1599	6820
95	1626	6843
96	1638	6809
97	1650	6771
98	1667	6755
99	1680	6721
100	1691	6681
101	1704	6649
102	1715	6612
103	1726	6573
104	1742	6555
105	1754	6519
1106	1781	65421107	1794	65121108	1803	64701109	1815	64351110	1824	63941111	1834	6354112	1829	6266
113	1859	6297
114	1870	6262
115	1881	6229
116	1904	6235
117	1927	6240
118	1938	6205
119	1948	6169
120	1983	6213
121	2000	6199
122	2014	6173
123	2026	6143
124	2114	6343
125	2126	6311
126	2137	6277
127	2164	6289
128	2176	6259
129	2187	6224
130	2218	6249
131	2225	6204
132	2235	6169
133	2273	6209
134	2284	6176
135	2295	6144
136	2315	6136
137	2328	6107
138	2338	6074
139	2363	6078
140	2382	6065
141	2394	6036
142	2429	6065
143	2434	6017
144	2445	5986
145	2483	6021
146	2520	6052
147	2548	6060
148	2560	6030
149	2570	5997
150	2592	5992
151	2606	5966
152	2622	5946
153	2646	5945
154	2686	5980
155	2724	6008
156	2766	6044
157	2789	6038
158	2813	6033
159	2820	5993
160	2839	5979
161	2851	5949
162	2863	5919
163	2880	5900
164	2894	5877
165	2905	5846
166	2916	5816
167	2927	5785
168	2941	5760
169	2953	5733
170	2965	5705
171	2978	5679
172	2987	5646
173	2998	5617
174	3008	5587
175	3021	5562
176	3032	5534
177	3043	5506
178	3048	5466
179	3058	5436
180	3070	5412
181	3081	5384
182	3092	5356
183	3095	5315
184	3098	5275
185	3109	5249
186	3119	5222
187	3133	5200
188	3149	5183
189	3164	5162
190	3176	5138
191	3187	5113
192	3201	5093
193	3214	5070
194	3225	5045
195	3242	5029
196	3252	5003
197	3264	4979
198	3280	4961
199	3291	4937
200	3301	4911
201	3316	4893
202	3331	4873
203	3346	4855
204	3356	4830
205	3367	4805
206	3380	4784
207	3391	4761
208	3401	4736
209	3414	4714
210	3425	4691
211	3437	4670
212	3449	4648
213	3459	4623
214	3474	4606
215	3498	4599
216	3513	4582
217	3535	4573
218	3548	4552
219	3573	4547
220	3593	4536
221	3609	4519
222	3628	4507
223	3639	4484
224	3653	4465
225	3669	4448
226	3679	4425
227	3698	4412
228	3721	4404
229	3735	4385
230	3750	4368
231	3759	4343
232	3779	4330
233	3787	4305
234	3796	4281
235	3809	4261
236	3835	4256
237	3856	4244
238	3869	4225
239	3891	4215
240	3921	4213
241	3939	4199
242	3953	4180
243	3985	4181
244	4002	4166
245	4020	4151
246	4035	4133
247	4058	4123
248	4069	4102
249	4093	4093
250	4115	4082
251	4132	4066
252	4163	4065
253	4181	4050
254	4204	4039
255	4223	4025
256	4239	4008
257	4256	3992
258	4286	3988
259	4303	3972
260	4336	3970
261	4349	3950
262	4377	3944
263	4407	3940
264	4427	3925
265	4432	3898
266	4456	3888
267	4474	3873
268	4491	3856
269	4494	3828
270	4522	3821
271	4537	3803
272	4568	3799
273	4585	3781
274	4608	3770
275	4619	3749
276	4635	3732
277	4670	3729
278	4675	3703
279	4686	3682
280	4698	3661
281	4719	3648
282	4734	3630
283	4747	3611
284	4758	3589
285	4771	3570
286	4784	3551
287	4802	3535
288	4812	3513
289	4838	3503
290	4863	3493
291	4880	3476
292	4905	3465
293	4908	3439
294	4913	3414
295	4927	3395
296	4947	3381
297	4963	3364
298	4983	3350
299	5006	3337
300	5019	3318
301	5039	3304
302	5048	3282
303	5058	3261
304	5065	3238
305	5073	3216
306	5091	3200
307	5118	3190
308	5131	3171
309	5147	3155
310	5159	3135
3311	5178	3120312	5181	3095
313	5192	3075
314	5205	3057
315	5217	3038
316	5236	3022
317	5251	3005
318	5263	2986
319	5272	2965
320	5283	2946
321	5295	2927
322	5320	2915
323	5337	2899
324	5354	2883
325	5368	2865
326	5371	2841
327	5385	2823
328	5409	2811
329	5417	2790
330	5438	2776
331	5473	2769
332	5483	2749
333	5493	2730
334	5510	2714
335	5528	2698
336	5537	2678
337	5547	2659
338	5561	2641
339	5577	2624
340	5598	2610
341	5611	2592
342	5621	2573
343	5631	2553
344	5648	2537
345	5660	2519
346	5668	2499
347	5687	2484
348	5690	2461
349	5696	2441
350	5707	2422
3351	5725	24073352	5739	2390353	5749	2371
354	5765	2354
355	5779	2337
356	5787	2318
3357	5803	23013358	5813	22833359	5823	22643360	5833	22463361	5841	2226
362	5852	2208
363	5862	2190
364	5865	21693365	5880	21523366	5890	2134
367	5900	2116
368	5916	2100
369	5922	2080
370	5930	2062
371	5938	2043
372	5949	2025
373	5959	2007
374	5969	1989
375	5975	1970
376	5981	19513377	5987	19323378	5994	19133379	5999	18943380	6005	18753381	6014	1857
382	6020	1839
383	6030	1821
384	6036	1803
385	6045	1785
386	6052	1767
387	6059	1749
388	6065	1730
389	6070	1712
390	6077	1694
391	6083	1675
392	6090	1658
393	6096	1640
394	6102	1622
395	6108	1604
396	6114	1586
397	6120	1568
398	6127	1550
399	6133	1533
400	6141	1516
401	6146	1498
402	6155	1481
403	6161	1464
404	6166	1446
405	6172	1429
406	6177	1411
407	6182	1394
408	6188	1377
409	6194	1359
410	6200	1342
411	6206	1325
412	6211	1308
413	6216	1291
414	6223	1274
415	6228	1257
416	6234	1240
417	6239	1224
418	6245	1207
419	6251	1190
420	6257	1174
421	6263	1157
422	6271	1141
423	6277	1125
424	6282	1108
425	6288	1092
426	6293	1075
427	6299	1059
428	6305	1043
429	6310	1027
430	6316	1011
431	6322	995
432	6328	979
433	6334	963
434	6339	947
435	6344	931
436	6351	915
437	6356	899
438	6361	883
439	6367	868
440	6372	852
441	6377	836
442	6383	821
443	6388	805
444	6394	790
445	6400	774
446	6406	759
447	6412	744
448	6417	728
449	6423	713
450	6429	698
451	6434	683
452	6439	668
453	6444	652
454	6450	637
455	6455	622
456	6461	607
457	6467	593
458	6472	578
459	6476	563
460	6482	548
461	6487	533
462	6493	518
463	6499	504
464	6504	489
465	6511	475
466	6516	460
467	6522	445
468	6530	431
469	6536	417
470	6541	402
471	6548	388
472	6553	374
473	6559	359
474	6563	345
475	6569	331
476	6575	317
477	6581	302
478	6586	288
479	6592	274
480	6597	260
481	6601	246
482	6606	232
483	6612	218
484	6617	204
485	6623	190
486	6629	176
487	6633	163
488	6640	149
489	6645	135
490	6650	121
491	6655	108
492	6660	94
493	6666	80
494	6669	67
495	6675	53
496	6680	40
497	6685	26
498	6690	13
499	6694	0
684	0
